EXTF;700;21;Kassenexport;Buchungen;20250904;;;;;;;
"Umsatz (ohne Soll/Haben-Kz)";Soll/Haben-Kennzeichen;"WKZ Umsatz";Kurs;Basisumsatz;"WKZ Basisumsatz";Konto;Gegenkonto;BU-Schlüssel;"Belegfeld 1";"Belegfeld 2";Buchungstext;Belegdatum;Buchungstyp;Kassen-Nr
400,00;S;EUR;;;;9999;9999;;RE202521-0421;421;"Kasse Einlage August 2025";20250801;Einlage;1
350,00;S;EUR;;;;9999;9999;;RE202521-0445;445;"Kasse Einlage";20250801;Einlage;0
16,85;H;EUR;;;;1000;3300;8;RE202521-0430;430;Tagesbedarf;20250802;Ausgabe;1
7,99;H;EUR;;;;9999;9999;;RE202521-0425;425;"Pinsel Bauhaus";20250805;Ausgabe;1
13,40;H;EUR;;;;1000;3300;8;RE202521-0427;427;Tagesbedarf;20250808;Ausgabe;1
13,41;H;EUR;;;;1000;3300;8;RE202521-0424;424;Tagesbedarf;20250809;Ausgabe;1
9,80;H;EUR;;;;1000;3400;8;RE202521-0428;428;"2 x Deizisau";20250810;Ausgabe;1
4,00;H;EUR;;;;1000;4650;8;RE202521-0429;429;"Pommes Frittes Bad Deizisau";20250810;Ausgabe;1
10,02;H;EUR;;;;1000;3300;8;RE202521-0420;420;Tagesbedarf;20250811;Ausgabe;1
4,60;H;EUR;;;;1000;4650;8;RE202521-0422;422;"Bäcker 2 Schnitten mit Pistazien";20250811;Ausgabe;1
3,50;H;EUR;;;;1000;3300;8;RE202521-0423;423;"Tagesbedarf Rewe";20250811;Ausgabe;1
11,45;H;EUR;;;;1000;3300;8;RE202521-0426;426;Tagesbedarf;20250811;Ausgabe;1
8,40;H;EUR;;;;1000;4650;8;RE202521-0431;431;"Sindelfingen Türke Falafel und Getränk";20250813;Ausgabe;1
5,05;H;EUR;;;;1000;3300;8;RE202521-0432;432;Tagesbedarf;20250813;Ausgabe;1
13,08;H;EUR;;;;1000;3300;8;RE202521-0435;435;Tagesbedarf;20250814;Ausgabe;1
10,00;H;EUR;;;;1000;4980;8;RE202521-0436;436;"Flohmarkt Winnenden Tastatur, Kaktus, DVD, 2 CD";20250816;Ausgabe;1
13,41;H;EUR;;;;1000;3300;8;RE202521-0437;437;Tagesbedarf;20250816;Ausgabe;1
4,45;H;EUR;;;;1000;4650;8;RE202521-0438;438;"Fellbach Bäckerei";20250818;Ausgabe;1
6,68;H;EUR;;;;1000;3300;8;RE202521-0439;439;Tagesbedarf;20250819;Ausgabe;1
7,07;H;EUR;;;;1000;3300;8;RE202521-0440;440;Tagesbedarf;20250819;Ausgabe;1
11,81;H;EUR;;;;1000;3300;8;RE202521-0442;442;Tagesbedarf;20250820;Ausgabe;1
10,45;H;EUR;;;;1000;4650;8;RE202521-0444;444;"Mc Donalds";20250821;Ausgabe;0
5,00;H;EUR;;;;1000;3300;8;RE202521-0446;446;Schokolade;20250821;Ausgabe;0
9,73;H;EUR;;;;1000;3300;8;RE202521-0448;448;Tagesbedarf;20250821;Ausgabe;1
15,58;H;EUR;;;;1000;3300;8;RE202521-0451;451;Tagesbedarf;20250822;Ausgabe;1
5,00;H;EUR;;;;1000;4900;8;RE202521-0454;454;"Spohn Tennis 1 Stunde";20250823;Ausgabe;1
15,28;H;EUR;;;;1000;3300;8;RE202521-0455;455;Tagesbedarf;20250823;Ausgabe;1
8,08;H;EUR;;;;1000;3300;8;RE202521-0456;456;Tagesbedarf;20250823;Ausgabe;1
7,60;H;EUR;;;;1000;4650;8;RE202521-0452;452;"Cafe Flohmarkt";20250824;Ausgabe;1
11,00;H;EUR;;;;1000;4980;8;RE202521-0453;453;"Flohmarkt Starkholzburg Teleon, Buch, Pflanze";20250824;Ausgabe;1
11,87;H;EUR;;;;1000;3300;8;RE202521-0457;457;Tagesbedarf;20250825;Ausgabe;1
3,12;H;EUR;;;;1000;3300;8;RE202521-0458;458;Tagesbedarf;20250826;Ausgabe;1
6,25;H;EUR;;;;1000;3300;8;RE202521-0459;459;Tagesbedarf;20250827;Ausgabe;1
4,00;H;EUR;;;;1000;4650;8;RE202521-0460;460;"Sindelfingen Türke Chicken Burger vegetarisch";20250827;Ausgabe;1
13,45;H;EUR;;;;1000;3300;8;RE202521-0461;461;Tagesbedarf;20250828;Ausgabe;1
25,00;H;EUR;;;;1000;4650;8;RE202521-0462;462;"Wöhrwag Rostbraten mit Kraut";20250830;Ausgabe;1
12,08;H;EUR;;;;9999;9999;;RE202521-0463;463;Tagesbedarf;20250830;Ausgabe;1
27,00;H;EUR;;;;1000;4650;8;RE202521-0464;464;"Inder Bad Cannstatt Schlemmerblock";20250831;Ausgabe;1
95,00;H;EUR;;;;9999;9999;;RE202521-0465;465;"Tagesbedarfe August 2025";20250831;Ausgabe;1
400,00;S;EUR;;;;9999;9999;;RE202521-0466;466;"Kasse Einlage September 2025";20250901;Einlage;1
11,20;H;EUR;;;;1000;3300;8;RE202521-0468;468;Tagesbedarf;20250902;Ausgabe;1
6,20;H;EUR;;;;1000;3300;8;RE202521-0467;467;Tagesbedarf;20250903;Ausgabe;1
5,24;H;EUR;;;;1000;3300;8;RE202521-0469;469;Tagesbedarf;20250903;Ausgabe;1
11,52;H;EUR;;;;1000;3300;8;RE202521-0470;470;Tagesbedarf;20250904;Ausgabe;0
